Wind cfs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,w_cfs
2006,1,1,1,0.134621037
2006,1,1,2,0.165358984
2006,1,1,3,0.192239119
2006,1,1,4,0.257455506
2006,1,1,5,0.363571134
2006,1,1,6,0.393745728
2006,1,1,7,0.419113065
2006,1,1,8,0.431020708
2006,1,1,9,0.434518229
2006,1,1,10,0.475450614
2006,1,1,11,0.503526302
2006,1,1,12,0.499487494
2006,1,1,13,0.440821854
2006,1,1,14,0.397293921
2006,1,1,15,0.38986306
2006,1,1,16,0.456368818
2006,1,1,17,0.567135231
2006,1,1,18,0.611027922
2006,1,1,19,0.575400922
2006,1,1,20,0.47341773
2006,1,1,21,0.513119146
2006,1,1,22,0.500347218
2006,1,1,23,0.518804731
2006,1,1,24,0.511421773
2006,1,2,1,0.515969672
2006,1,2,2,0.505725082
2006,1,2,3,0.460979285
2006,1,2,4,0.408389015
2006,1,2,5,0.412295289
2006,1,2,6,0.404678453
2006,1,2,7,0.381839856
2006,1,2,8,0.386529898
2006,1,2,9,0.388260788
2006,1,2,10,0.353821796
2006,1,2,11,0.346138508
2006,1,2,12,0.363472041
2006,1,2,13,0.361277828
2006,1,2,14,0.379836227
2006,1,2,15,0.417248879
2006,1,2,16,0.492108331
2006,1,2,17,0.518149893
2006,1,2,18,0.525417408
2006,1,2,19,0.439672527
2006,1,2,20,0.342829096
2006,1,2,21,0.295342816
2006,1,2,22,0.268421264
2006,1,2,23,0.222026721
2006,1,2,24,0.16152956
2006,1,3,1,0.134164008
2006,1,3,2,0.130337349
2006,1,3,3,0.11545017
2006,1,3,4,0.100762324
2006,1,3,5,0.109718481
2006,1,3,6,0.060248542
2006,1,3,7,0.038220924
2006,1,3,8,0.015849396
2006,1,3,9,0.021661314
2006,1,3,10,0.058845891
2006,1,3,11,0.112999424
2006,1,3,12,0.151602293
2006,1,3,13,0.191288866
2006,1,3,14,0.209134036
2006,1,3,15,0.200988749
2006,1,3,16,0.18230077
2006,1,3,17,0.150069334
2006,1,3,18,0.110382824
2006,1,3,19,0.037592103
2006,1,3,20,0.003712701
2006,1,3,21,0.004584481
2006,1,3,22,0.028659277
2006,1,3,23,0.066406075
2006,1,3,24,0.101880315
2006,1,4,1,0.147064657
2006,1,4,2,0.151998105
2006,1,4,3,0.172044002
2006,1,4,4,0.186356775
2006,1,4,5,0.27502944
2006,1,4,6,0.346271598
2006,1,4,7,0.502730032
2006,1,4,8,0.598063371
2006,1,4,9,0.631070257
2006,1,4,10,0.654765436
2006,1,4,11,0.747409368
2006,1,4,12,0.803494536
2006,1,4,13,0.783437408
2006,1,4,14,0.757521157
2006,1,4,15,0.76434544
2006,1,4,16,0.748612213
2006,1,4,17,0.715428907
2006,1,4,18,0.786892543
2006,1,4,19,0.679617419
2006,1,4,20,0.583806874
2006,1,4,21,0.499505523
2006,1,4,22,0.448816201
2006,1,4,23,0.392086867
2006,1,4,24,0.393482464
2006,1,5,1,0.440925903
2006,1,5,2,0.4349447
2006,1,5,3,0.413694647
2006,1,5,4,0.370472081
2006,1,5,5,0.446401268
2006,1,5,6,0.513719058
2006,1,5,7,0.609803394
2006,1,5,8,0.669421058
2006,1,5,9,0.697814694
2006,1,5,10,0.729833043
2006,1,5,11,0.741453635
2006,1,5,12,0.771580332
2006,1,5,13,0.74587514
2006,1,5,14,0.733977895
2006,1,5,15,0.711865956
2006,1,5,16,0.719030749
2006,1,5,17,0.719035478
2006,1,5,18,0.669675773
2006,1,5,19,0.605324825
2006,1,5,20,0.631159059
2006,1,5,21,0.683899436
2006,1,5,22,0.718500533
2006,1,5,23,0.716294114
2006,1,5,24,0.725990654
2006,1,6,1,0.741498008
2006,1,6,2,0.7365685
2006,1,6,3,0.697572186
2006,1,6,4,0.686932995
2006,1,6,5,0.789190028
2006,1,6,6,0.809651827
2006,1,6,7,0.843005153
2006,1,6,8,0.859634114
2006,1,6,9,0.868299077
2006,1,6,10,0.880421977
2006,1,6,11,0.843450112
2006,1,6,12,0.830883486
2006,1,6,13,0.816542655
